experiment_id,seed,hospital,aggregation_level,model_family,feature_setting,federated_strategy,latent_dimension,encoder_configuration,fedprox_mu,secure_aggregation,differential_privacy,privacy_epsilon,sample_count,positive_count,negative_count,tp,tn,fp,fn,accuracy,precision,recall,sensitivity,specificity,f1,roc_auc,pr_auc,brier_score,ece,shared_parameter_count,private_parameter_count,communication_per_round,total_communication
homogeneous_fedavg_alexnet,123,hospital_3,hospital,1D_AlexNet,homogeneous_25,FedAvg,,None,0.0,False,False,,19,18,1,15,0,1,3,0.7894736842105263,0.9375,0.8333333333333334,0.8333333333333334,0.0,0.8823529411764706,0.16666666666666666,0.9131616369812965,0.17037512977381764,0.28855474136377635,120257,0,2886168,43292520
homogeneous_fedavg_alexnet,123,ALL,macro,1D_AlexNet,homogeneous_25,FedAvg,,None,0.0,False,False,,109,55,54,49,41,13,6,0.8191526246446156,0.8098544973544973,0.8869047619047619,0.8869047619047619,0.5123809523809524,0.8407362945178072,0.6755158730158729,0.8923048967348371,0.13855451738602587,0.20573776580468742,120257,0,2886168,43292520
homogeneous_fedavg_alexnet,123,ALL,sample_weighted,1D_AlexNet,homogeneous_25,FedAvg,,None,0.0,False,False,,109,55,54,49,41,13,6,0.8256880733944955,0.7788244502694045,0.9003931847968545,0.9003931847968545,0.7592592592592593,0.8307433064969107,0.7974093490607252,0.888699883357057,0.1309499168055816,0.18574506666408766,120257,0,2886168,43292520
homogeneous_fedavg_resnet,123,hospital_1,hospital,1D_ResNet,homogeneous_25,FedAvg,,None,0.0,False,False,,46,21,25,19,17,8,2,0.782608695652174,0.7037037037037037,0.9047619047619048,0.9047619047619048,0.68,0.7916666666666666,0.9028571428571428,0.8857003320397647,0.15990168264885393,0.1718576043520285,244065,0,5857560,87863400
homogeneous_fedavg_resnet,123,hospital_2,hospital,1D_ResNet,homogeneous_25,FedAvg,,None,0.0,False,False,,44,16,28,12,24,4,4,0.8181818181818182,0.75,0.75,0.75,0.8571428571428571,0.75,0.8549107142857143,0.6855100259554089,0.1429778331167067,0.1479097394780679,244065,0,5857560,87863400
homogeneous_fedavg_resnet,123,hospital_3,hospital,1D_ResNet,homogeneous_25,FedAvg,,None,0.0,False,False,,19,18,1,10,0,1,8,0.5263157894736842,0.9090909090909091,0.5555555555555556,0.5555555555555556,0.0,0.6896551724137931,0.2777777777777778,0.9358468221664817,0.38997227205862295,0.4536153322183772,244065,0,5857560,87863400
homogeneous_fedavg_resnet,123,ALL,macro,1D_ResNet,homogeneous_25,FedAvg,,None,0.0,False,False,,109,55,54,41,41,13,14,0.7090354344358921,0.7875982042648709,0.7367724867724869,0.7367724867724869,0.5123809523809524,0.7437739463601533,0.6785152116402116,0.8356857267205519,0.23095059594139453,0.2577942253494912,244065,0,5857560,87863400
homogeneous_fedavg_resnet,123,ALL,sample_weighted,1D_ResNet,homogeneous_25,FedAvg,,None,0.0,False,False,,109,55,54,41,41,13,14,0.7522935779816514,0.7581935563586941,0.781418377748653,0.781418377748653,0.7592592592592593,0.7570652747020984,0.7745438328236494,0.8136306975874342,0.19317408466143313,0.211304308709885,244065,0,5857560,87863400
homogeneous_fedavg_alexnet,2026,hospital_1,hospital,1D_AlexNet,homogeneous_25,FedAvg,,None,0.0,False,False,,46,21,25,20,17,8,1,0.8043478260869565,0.7142857142857143,0.9523809523809523,0.9523809523809523,0.68,0.8163265306122449,0.9580952380952381,0.9565409207265558,0.12186144059921065,0.15134785713061044,120257,0,2886168,43292520
homogeneous_fedavg_alexnet,2026,hospital_2,hospital,1D_AlexNet,homogeneous_25,FedAvg,,None,0.0,False,False,,44,16,28,14,24,4,2,0.8636363636363636,0.7777777777777778,0.875,0.875,0.8571428571428571,0.8235294117647058,0.9017857142857143,0.8072121324966594,0.12342698178504931,0.17731069891967555,120257,0,2886168,43292520
