experiment_id,aggregation_level,metric,mean,std,ci_95,n_seeds
heterogeneous_fedavg_mlp,sample_weighted,roc_auc,0.7933964370661618,0.025762478576187183,0.02915298892426913,3
heterogeneous_fedavg_mlp,sample_weighted,pr_auc,0.896620479236081,0.01094387380175499,0.012384159031424253,3
heterogeneous_fedavg_mlp,sample_weighted,brier_score,0.11416526596269555,0.00760074360038097,0.008601051072893705,3
heterogeneous_fedavg_mlp,sample_weighted,ece,0.1293788025104398,0.03085728688501316,0.03491830726346676,3
heterogeneous_fedavg_secure_aggregation,hospital,accuracy,0.8567944895176017,0.05540214860552127,0.0361960704222739,9
heterogeneous_fedavg_secure_aggregation,hospital,precision,0.829328631747082,0.09370598690441655,0.06122124477755214,9
heterogeneous_fedavg_secure_aggregation,hospital,recall,0.8586860670194003,0.149375668350888,0.09759210332258016,9
heterogeneous_fedavg_secure_aggregation,hospital,sensitivity,0.8586860670194003,0.149375668350888,0.09759210332258016,9
heterogeneous_fedavg_secure_aggregation,hospital,specificity,0.5568253968253969,0.4190677078518128,0.2737909024631843,9
heterogeneous_fedavg_secure_aggregation,hospital,f1,0.8398831800483735,0.11714526069376864,0.07653490365326218,9
heterogeneous_fedavg_secure_aggregation,hospital,roc_auc,0.674157848324515,0.38192674044996483,0.24952547042731035,9
heterogeneous_fedavg_secure_aggregation,hospital,pr_auc,0.8963807683299932,0.05785357181529796,0.037797666919328,9
heterogeneous_fedavg_secure_aggregation,hospital,brier_score,0.1070108556109013,0.028146521763194064,0.01838906088528679,9
heterogeneous_fedavg_secure_aggregation,hospital,ece,0.12339962491843288,0.03589802008488185,0.023453373122122808,9
heterogeneous_fedavg_secure_aggregation,macro,accuracy,0.8567944895176017,0.010382560444722432,0.01174897317257059,3
heterogeneous_fedavg_secure_aggregation,macro,precision,0.8293286317470819,0.015254471196016983,0.017262059180676963,3
heterogeneous_fedavg_secure_aggregation,macro,recall,0.8586860670194003,0.03657403420812933,0.04138741585101154,3
heterogeneous_fedavg_secure_aggregation,macro,sensitivity,0.8586860670194003,0.03657403420812933,0.04138741585101154,3
heterogeneous_fedavg_secure_aggregation,macro,specificity,0.5568253968253969,0.00782943647945302,0.008859841427669943,3
heterogeneous_fedavg_secure_aggregation,macro,f1,0.8398831800483736,0.030866921979364876,0.034929210399129315,3
heterogeneous_fedavg_secure_aggregation,macro,roc_auc,0.6741578483245151,0.04982040532213663,0.05637709587078882,3
heterogeneous_fedavg_secure_aggregation,macro,pr_auc,0.8963807683299931,0.018007493943775984,0.020377397692704455,3
heterogeneous_fedavg_secure_aggregation,macro,brier_score,0.10701085561090129,0.0070896601845441025,0.00802270574337864,3
heterogeneous_fedavg_secure_aggregation,macro,ece,0.12339962491843288,0.02761663051656033,0.031251159363179216,3
heterogeneous_fedavg_secure_aggregation,sample_weighted,accuracy,0.8440366972477064,0.01834862385321101,0.02076342252498471,3
heterogeneous_fedavg_secure_aggregation,sample_weighted,precision,0.8022468027864682,0.019309832763070682,0.021851132801780408,3
heterogeneous_fedavg_secure_aggregation,sample_weighted,recall,0.8356147759817484,0.050838946221063476,0.0575296834006539,3
heterogeneous_fedavg_secure_aggregation,sample_weighted,sensitivity,0.8356147759817484,0.050838946221063476,0.0575296834006539,3
heterogeneous_fedavg_secure_aggregation,sample_weighted,specificity,0.8209876543209876,0.010691671651659785,0.012098765432098821,3
heterogeneous_fedavg_secure_aggregation,sample_weighted,f1,0.8139174671073631,0.04108559138932932,0.046492723406950744,3
heterogeneous_fedavg_secure_aggregation,sample_weighted,roc_auc,0.7933964370661618,0.025762478576187183,0.02915298892426913,3
heterogeneous_fedavg_secure_aggregation,sample_weighted,pr_auc,0.896620479236081,0.01094387380175499,0.012384159031424253,3
heterogeneous_fedavg_secure_aggregation,sample_weighted,brier_score,0.11416525314559474,0.007600770012796107,0.008601080961355085,3
heterogeneous_fedavg_secure_aggregation,sample_weighted,ece,0.12937881011481678,0.030857312229987187,0.03491833594400481,3
heterogeneous_fedavg_secure_aggregation_dp,hospital,accuracy,0.8521831588193144,0.05251401180987164,0.034309154382449476,9
heterogeneous_fedavg_secure_aggregation_dp,hospital,precision,0.8208711763256086,0.10368842744901352,0.0677431059333555,9
heterogeneous_fedavg_secure_aggregation_dp,hospital,recall,0.8742283950617283,0.09962063519075907,0.06508548165796259,9
heterogeneous_fedavg_secure_aggregation_dp,hospital,sensitivity,0.8742283950617283,0.09962063519075907,0.06508548165796259,9
heterogeneous_fedavg_secure_aggregation_dp,hospital,specificity,0.5395238095238095,0.41054219997362473,0.26822090398276816,9
heterogeneous_fedavg_secure_aggregation_dp,hospital,f1,0.8442040765084223,0.09113503011870452,0.059541553010886955,9
heterogeneous_fedavg_secure_aggregation_dp,hospital,roc_auc,0.6975143298059965,0.33336482975454895,0.21779835543963866,9
heterogeneous_fedavg_secure_aggregation_dp,hospital,pr_auc,0.8924527381719444,0.07789934513626284,0.05089423882235839,9
heterogeneous_fedavg_secure_aggregation_dp,hospital,brier_score,0.12118450139578713,0.0347268146038932,0.022688185541210226,9
heterogeneous_fedavg_secure_aggregation_dp,hospital,ece,0.12533268127822586,0.043980643564114956,0.02873402046188844,9
heterogeneous_fedavg_secure_aggregation_dp,macro,accuracy,0.8521831588193144,0.0056103933966198455,0.006348757790084406,3
heterogeneous_fedavg_secure_aggregation_dp,macro,precision,0.8208711763256084,0.021044354383353926,0.02381392878957649,3
heterogeneous_fedavg_secure_aggregation_dp,macro,recall,0.8742283950617283,0.055066557510808606,0.062313675932334264,3
heterogeneous_fedavg_secure_aggregation_dp,macro,sensitivity,0.8742283950617283,0.055066557510808606,0.062313675932334264,3
heterogeneous_fedavg_secure_aggregation_dp,macro,specificity,0.5395238095238094,0.04000850249770471,0.04527388258637032,3
heterogeneous_fedavg_secure_aggregation_dp,macro,f1,0.8442040765084223,0.014260572415430597,0.01613735683278013,3
heterogeneous_fedavg_secure_aggregation_dp,macro,roc_auc,0.6975143298059966,0.017521598337939055,0.01982755505340156,3
heterogeneous_fedavg_secure_aggregation_dp,macro,pr_auc,0.8924527381719444,0.025993208605088778,0.029414084531090203,3
heterogeneous_fedavg_secure_aggregation_dp,macro,brier_score,0.12118450139578713,0.02026896312801415,0.022936490983580995,3
heterogeneous_fedavg_secure_aggregation_dp,macro,ece,0.12533268127822586,0.017754402797552506,0.02009099809955725,3
heterogeneous_fedavg_secure_aggregation_dp,sample_weighted,accuracy,0.8379204892966361,0.005296791460455315,0.0059938837920489665,3
heterogeneous_fedavg_secure_aggregation_dp,sample_weighted,precision,0.7915021307479018,0.027268368112392763,0.03085706335330147,3
heterogeneous_fedavg_secure_aggregation_dp,sample_weighted,recall,0.8541454298335033,0.0627270339115231,0.0709823210319979,3
heterogeneous_fedavg_secure_aggregation_dp,sample_weighted,sensitivity,0.8541454298335033,0.0627270339115231,0.0709823210319979,3
heterogeneous_fedavg_secure_aggregation_dp,sample_weighted,specificity,0.7962962962962963,0.05555555555555558,0.06286702931175928,3
heterogeneous_fedavg_secure_aggregation_dp,sample_weighted,f1,0.8186718447249035,0.015403977181903866,0.01743124113022358,3
heterogeneous_fedavg_secure_aggregation_dp,sample_weighted,roc_auc,0.8024750012135334,0.00666850133001625,0.007546119634433469,3
heterogeneous_fedavg_secure_aggregation_dp,sample_weighted,pr_auc,0.8831986596853397,0.03578313595490726,0.040492430224988774,3
heterogeneous_fedavg_secure_aggregation_dp,sample_weighted,brier_score,0.12928835918368528,0.01945186062761346,0.02201185246039976,3
heterogeneous_fedavg_secure_aggregation_dp,sample_weighted,ece,0.13552790388054803,0.01691822404130956,0.019144772760742525,3
heterogeneous_fedprox_mlp_mu_0001,hospital,accuracy,0.8617352009800523,0.05491440524168384,0.035877411424566776,9
heterogeneous_fedprox_mlp_mu_0001,hospital,precision,0.8382211947743424,0.08902641851311083,0.058163926761899076,9
heterogeneous_fedprox_mlp_mu_0001,hospital,recall,0.8586860670194003,0.149375668350888,0.09759210332258016,9
heterogeneous_fedprox_mlp_mu_0001,hospital,sensitivity,0.8586860670194003,0.149375668350888,0.09759210332258016,9
heterogeneous_fedprox_mlp_mu_0001,hospital,specificity,0.5652380952380952,0.42554886527247826,0.2780252586446858,9
heterogeneous_fedprox_mlp_mu_0001,hospital,f1,0.8446895658397114,0.1161822652406006,0.07590574662385906,9
heterogeneous_fedprox_mlp_mu_0001,hospital,roc_auc,0.6767482363315697,0.3778258392190679,0.24684621495645773,9
heterogeneous_fedprox_mlp_mu_0001,hospital,pr_auc,0.8963104509527174,0.05879616097216389,0.03841349183514708,9
